Section,Number,Mode,Title,Satifies,Unit,Type,Days,Times,Instructor,Location,Dates,Seats,Year,Semester
BIOL 10 (Section 01),23690,In Person,The Living World,GE: B2,3.0,LEC,TR,01:30PM-02:45PM,Sonia Cuellar-Ortiz,DH135,01/26/22-05/16/22,41,2022,Spring
BIOL 10 (Section 82),27699,Fully Online,The Living World,GE: B2,3.0,LEC,TBA,TBA,Brandon White,ONLINE,01/26/22-05/16/22,17,2022,Spring
BIOL 10 (Section 99),22263,Fully Online,The Living World,GE: B2,3.0,LEC,TBA,TBA,Mary Poffenroth,ONLINE,01/26/22-05/16/22,0,2022,Spring
CHEM 1A (Section 01),20109,In Person,General Chemistry,GE: B1+B3,5.0,LEC,MWF,09:30AM-10:20AM,Karen Singmaster,SCI142,01/26/22-05/16/22,0,2022,Spring
CHEM 1A (Section 02),20719,In Person,General Chemistry,GE: B1+B3,5.0,LEC,MWF,10:30AM-11:20AM,Niloofar Salehi,SCI142,01/26/22-05/16/22,0,2022,Spring
CHEM 1A (Section 03),24267,In Person,General Chemistry,GE: B1+B3,5.0,LEC,MWF,08:30AM-09:20AM,Stephanie Stepp,SCI142,01/26/22-05/16/22,0,2022,Spring
CHEM 1A (Section 04),21238,In Person,General Chemistry,,0,SEM,F,07:30AM-08:20AM,Niloofar Salehi,SCI142,01/26/22-05/16/22,8,2022,Spring
CHEM 1A (Section 05),21271,In Person,General Chemistry,,0,SEM,F,08:30AM-09:20AM,Brenda Serrano,YUH124,01/26/22-05/16/22,12,2022,Spring
CHEM 1A (Section 06),21674,In Person,General Chemistry,,0,SEM,F,09:30AM-10:20AM,John Diniz,SCI164,01/26/22-05/16/22,0,2022,Spring
CHEM 1A (Section 07),20110,In Person,General Chemistry,,0,SEM,F,10:30AM-11:20AM,Kala Padmanabhan,SCI164,01/26/22-05/16/22,1,2022,Spring
CHEM 1A (Section 08),22014,In Person,General Chemistry,,0,SEM,F,11:30AM-12:20PM,Kala Padmanabhan,SCI164,01/26/22-05/16/22,0,2022,Spring
CHEM 1A (Section 10),20111,In Person,General Chemistry,,0,LAB,T,07:30AM-10:20AM,Shreeyukta Singh,DH412,01/26/22-05/16/22,0,2022,Spring
CHEM 1A (Section 11),20635,In Person,General Chemistry,,0,LAB,T,07:30AM-10:20AM,Lucero Sandoval,DH506,01/26/22-05/16/22,0,2022,Spring
CHEM 1A (Section 12),20112,In Person,General Chemistry,,0,LAB,T,10:30AM-01:20PM,Xiao Wang,DH412,01/26/22-05/16/22,0,2022,Spring
CHEM 1A (Section 13),20800,In Person,General Chemistry,,0,LAB,T,10:30AM-01:20PM,Ivy Tran,DH506,01/26/22-05/16/22,0,2022,Spring
CHEM 1A (Section 14),20113,In Person,General Chemistry,,0,LAB,T,02:30PM-05:20PM,Xiao Wang,DH412,01/26/22-05/16/22,0,2022,Spring
CHEM 1A (Section 15),20114,In Person,General Chemistry,,0,LAB,T,02:30PM-05:20PM,Dillion Chen,DH506,01/26/22-05/16/22,0,2022,Spring
CHEM 1A (Section 16),20115,In Person,General Chemistry,,0,LAB,W,07:30AM-10:20AM,Shreeyukta Singh,DH412,01/26/22-05/16/22,0,2022,Spring
CHEM 1A (Section 17),23546,In Person,General Chemistry,,0,LAB,W,07:30AM-10:20AM,Lucero Sandoval,DH506,01/26/22-05/16/22,0,2022,Spring
CHEM 1A (Section 18),20116,In Person,General Chemistry,,0,LAB,W,11:30AM-02:20PM,John Diniz,DH412,01/26/22-05/16/22,0,2022,Spring
CHEM 1A (Section 19),20117,In Person,General Chemistry,,0,LAB,W,11:30AM-02:20PM,Krista Wirth,DH506,01/26/22-05/16/22,0,2022,Spring
CHEM 1A (Section 20),20118,In Person,General Chemistry,,0,LAB,W,02:30PM-05:20PM,John Diniz,DH412,01/26/22-05/16/22,0,2022,Spring
