Course,Year,Semester,Instructor,Slot,Mode,Scheduled
BIOL 10,2022,Fall,Mary Poffenroth,TBA|TBA,Fully Online,1
BIOL 10,2022,Fall,Phillip Hawkins,MW|10:30AM-11:45AM,In Person,1
BIOL 10,2022,Fall,Allison Harness,TR|09:00AM-10:15AM,In Person,1
BIOL 10,2022,Fall,Phillip Hawkins,TBA|TBA,Fully Online,1
BIOL 10,2022,Fall,Thomas Madura,TR|03:00PM-04:15PM,In Person,0
BIOL 10,2022,Fall,Bennett Haffner,TR|09:00AM-10:15AM,In Person,0
BIOL 10,2022,Fall,Guangliang Chen,MW|10:30AM-11:45AM,In Person,0
BIOL 10,2022,Fall,Linh Pham,MW|03:00PM-04:15PM,Fully Online,0
BIOL 10,2022,Fall,Joseph Petsche,TR|03:00PM-04:15PM,Fully Online,0
BIOL 10,2022,Fall,Kourosh Youssefi,TR|09:00AM-10:15AM,Fully Online,0
BIOL 10,2022,Fall,Bennett Haffner,MW|03:00PM-04:15PM,Fully Online,0
BIOL 10,2022,Fall,Matt Villamarin,TBA|TBA,In Person,0
BIOL 10,2022,Fall,Navrati Saxena,TBA|TBA,Fully Online,0
BIOL 10,2022,Fall,Thuy Le / Jonathan Ponniah,TR|03:00PM-04:15PM,In Person,0
BIOL 10,2022,Fall,Malik Oliver,TBA|TBA,In Person,0
BIOL 10,2022,Fall,Sherri Harvey,TBA|TBA,Fully Online,0
BIOL 10,2022,Fall,Alan Meyer / Jonathan Miller,MW|10:30AM-11:45AM,In Person,0
BIOL 10,2022,Fall,Niloofar Salehi,TR|09:00AM-10:15AM,In Person,0
BIOL 10,2022,Fall,Rachel Turner,MW|03:00PM-04:15PM,Fully Online,0
BIOL 10,2022,Fall,Rahul Balakrishna Balasubramaniam,TBA|TBA,In Person,0
BIOL 10,2022,Fall,Xiao Wang,TR|01:30PM-02:45PM,In Person,0
BIOL 10,2022,Fall,Yuching Yang,MW|10:30AM-11:45AM,Fully Online,0
BIOL 10,2022,Fall,Alan Meyer / Jonathan Miller,MW|10:30AM-11:45AM,Fully Online,0
BIOL 10,2022,Fall,Kyle Yrigoyen,TR|09:00AM-10:15AM,Fully Online,0
BIOL 10,2022,Spring,Mary Poffenroth,TBA|TBA,Fully Online,1
BIOL 10,2022,Spring,Brandon White,TBA|TBA,Fully Online,1
BIOL 10,2022,Spring,Sonia Cuellar-Ortiz,TR|01:30PM-02:45PM,In Person,1
BIOL 10,2022,Spring,Ishie Eswar,TR|01:30PM-02:45PM,In Person,0
BIOL 10,2022,Spring,Calvin Jumawan,TR|01:30PM-02:45PM,Fully Online,0
BIOL 10,2022,Spring,Ryan Skinnell,TR|09:00AM-10:15AM,Fully Online,0
BIOL 10,2022,Spring,Wo-Tak Wu,MW|10:30AM-11:45AM,Fully Online,0
BIOL 10,2022,Spring,Zeyu Gao,MW|03:00PM-04:15PM,In Person,0
BIOL 10,2022,Spring,Ishie Eswar,TBA|TBA,Fully Online,0
BIOL 10,2022,Spring,Tommy Chang,TR|09:00AM-10:15AM,Fully Online,0
BIOL 10,2022,Spring,Robert Nicholson,TBA|TBA,In Person,0
BIOL 10,2022,Spring,Barbara Wortham,TR|03:00PM-04:15PM,Fully Online,0
BIOL 10,2022,Spring,Michael Vartanian,TR|01:30PM-02:45PM,Fully Online,0
BIOL 10,2022,Spring,Yuching Yang,MW|10:30AM-11:45AM,In Person,0
BIOL 10,2022,Spring,Bhaskar Mantha,TR|01:30PM-02:45PM,In Person,0
BIOL 10,2022,Spring,Wencen Wu,TR|01:30PM-02:45PM,Fully Online,0
BIOL 10,2022,Spring,Qi Yang,TR|09:00AM-10:15AM,In Person,0
BIOL 10,2022,Spring,Smita Duorah,MW|03:00PM-04:15PM,Fully Online,0
BIOL 10,2023,Fall,Mary Poffenroth,TBA|TBA,Fully Online,1
BIOL 10,2023,Fall,Jennifer Johnston,TR|09:00AM-10:15AM,In Person,1
BIOL 10,2023,Fall,Jennifer Johnston,MW|03:00PM-04:15PM,In Person,1
BIOL 10,2023,Fall,Jennifer Johnston,MW|10:30AM-11:45AM,In Person,1
BIOL 10,2023,Fall,Jennifer Johnston,TBA|TBA,Fully Online,1
BIOL 10,2023,Fall,Bhawandeep Singh Harsh,MW|03:00PM-04:15PM,In Person,0
BIOL 10,2023,Fall,Laura Mugica Sanchez,TBA|TBA,Fully Online,0
BIOL 10,2023,Fall,Zeyu Gao,TR|09:00AM-10:15AM,Fully Online,0
BIOL 10,2023,Fall,Kenneth Wharton,TR|03:00PM-04:15PM,In Person,0
BIOL 10,2023,Fall,Javier Valencia,MW|03:00PM-04:15PM,Fully Online,0
BIOL 10,2023,Fall,Saptarshi Sengupta,MW|10:30AM-11:45AM,Fully Online,0
BIOL 10,2023,Fall,Derek Mena Godoy / Ryan Portner,MW|10:30AM-11:45AM,In Person,0
BIOL 10,2023,Fall,Yan Chen,TR|03:00PM-04:15PM,Fully Online,0
BIOL 10,2023,Fall,Avantika Rohatgi,TBA|TBA,In Person,0
BIOL 10,2023,Fall,Venkata Satya Kanaka Madhav Gadhamsetty,TR|01:30PM-02:45PM,Fully Online,0
