Section,Number,Mode,Title,Satifies,Unit,Type,Days,Times,Instructor,Location,Dates,Seats,Year,Semester
BIOL 10 (Section 01),40488,In Person,The Living World,GE: B2,3,LEC,TR,09:00AM-10:15AM,Jennifer Johnston,SCI164,08/21/23-12/06/23,7,2023,Fall
BIOL 10 (Section 03),44733,In Person,The Living World,GE: B2,3,LEC,MW,10:30AM-11:45AM,Jennifer Johnston,SCI164,08/21/23-12/06/23,2,2023,Fall
BIOL 10 (Section 04),50518,In Person,The Living World,GE: B2,3,LEC,MW,03:00PM-04:15PM,Jennifer Johnston,DH250,08/21/23-12/06/23,2,2023,Fall
BIOL 10 (Section 80),41498,Fully Online,The Living World,GE: B2,3,LEC,TBA,TBA,Jennifer Johnston,ONLINE,08/21/23-12/06/23,3,2023,Fall
BIOL 10 (Section 99),47433,Fully Online,The Living World,GE: B2,3,LEC,TBA,TBA,Mary Poffenroth,ONLINE,08/21/23-12/06/23,0,2023,Fall
CHEM 1A (Section 03),41318,In Person,General Chemistry,GE: B1+B3,5,LEC,MWF,01:30PM-02:20PM,John Diniz,MD101,08/21/23-12/06/23,0,2023,Fall
CHEM 1A (Section 04),40820,In Person,General Chemistry,,0,SEM,F,07:30AM-08:20AM,Niloofar Salehi,SCI142,08/21/23-12/06/23,0,2023,Fall
CHEM 1A (Section 05),40082,In Person,General Chemistry,,0,SEM,F,08:30AM-09:20AM,Niloofar Salehi,SCI142,08/21/23-12/06/23,10,2023,Fall
CHEM 1A (Section 06),41321,In Person,General Chemistry,,0,SEM,F,09:30AM-10:20AM,Kala Padmanabhan,WSQ109,08/21/23-12/06/23,0,2023,Fall
CHEM 1A (Section 07),40551,In Person,General Chemistry,,0,SEM,F,10:30AM-11:20AM,John Diniz,SCI164,08/21/23-12/06/23,0,2023,Fall
CHEM 1A (Section 08),40647,In Person,General Chemistry,,0,SEM,F,11:30AM-12:20PM,Kala Padmanabhan,SCI142,08/21/23-12/06/23,0,2023,Fall
CHEM 1A (Section 09),40083,In Person,General Chemistry,,0,SEM,F,12:30PM-01:20PM,Kala Padmanabhan,SCI142,08/21/23-12/06/23,1,2023,Fall
CHEM 1A (Section 10),40084,In Person,General Chemistry,,0,LAB,T,07:30AM-10:20AM,Minh Hoang Huynh,DH412,08/21/23-12/06/23,0,2023,Fall
CHEM 1A (Section 11),40085,In Person,General Chemistry,,0,LAB,T,07:30AM-10:20AM,Karen Singmaster / Elizabeth Migicovsky,DH506,08/21/23-12/06/23,0,2023,Fall
CHEM 1A (Section 12),40086,In Person,General Chemistry,,0,LAB,T,10:30AM-01:20PM,Xiao Wang,DH412,08/21/23-12/06/23,0,2023,Fall
CHEM 1A (Section 13),40087,In Person,General Chemistry,,0,LAB,T,10:30AM-01:20PM,Kala Padmanabhan,DH506,08/21/23-12/06/23,0,2023,Fall
CHEM 1A (Section 14),40088,In Person,General Chemistry,,0,LAB,T,02:30PM-05:20PM,Xiao Wang,DH412,08/21/23-12/06/23,0,2023,Fall
CHEM 1A (Section 15),40089,In Person,General Chemistry,,0,LAB,T,02:30PM-05:20PM,Shreeyukta Singh,DH506,08/21/23-12/06/23,0,2023,Fall
CHEM 1A (Section 16),40090,In Person,General Chemistry,,0,LAB,W,07:30AM-10:20AM,Brenda Serrano,DH506,08/21/23-12/06/23,0,2023,Fall
CHEM 1A (Section 17),40091,In Person,General Chemistry,,0,LAB,W,07:30AM-10:20AM,Karen Singmaster / Elizabeth Migicovsky,DH507,08/21/23-12/06/23,0,2023,Fall
CHEM 1A (Section 18),40092,In Person,General Chemistry,,0,LAB,W,11:30AM-02:20PM,Jose Ramirez,DH412,08/21/23-12/06/23,0,2023,Fall
CHEM 1A (Section 19),40648,In Person,General Chemistry,,0,LAB,W,11:30AM-02:20PM,Minh Hoang Huynh,DH506,08/21/23-12/06/23,0,2023,Fall
CHEM 1A (Section 20),40093,In Person,General Chemistry,,0,LAB,W,02:30PM-05:20PM,John Diniz,DH412,08/21/23-12/06/23,0,2023,Fall
CHEM 1A (Section 21),40094,In Person,General Chemistry,,0,LAB,W,02:30PM-05:15PM,Laura Mugica Sanchez,DH506,08/21/23-12/06/23,0,2023,Fall
CHEM 1A (Section 22),40190,In Person,General Chemistry,,0,LAB,R,07:30AM-10:20AM,Shreeyukta Singh,DH412,08/21/23-12/06/23,0,2023,Fall
CHEM 1A (Section 23),40208,In Person,General Chemistry,,0,LAB,R,07:30AM-10:20AM,Niloofar Salehi,DH506,08/21/23-12/06/23,0,2023,Fall
CHEM 1A (Section 24),40920,In Person,General Chemistry,,0,LAB,R,10:30AM-01:20PM,Sonia Cuellar-Ortiz,DH412,08/21/23-12/06/23,0,2023,Fall
CHEM 1A (Section 25),45405,In Person,General Chemistry,,0,LAB,R,10:30AM-01:20PM,Victor Maraschin,DH506,08/21/23-12/06/23,0,2023,Fall
CHEM 1A (Section 26),40921,In Person,General Chemistry,,0,LAB,R,02:30PM-05:20PM,Laura Mugica Sanchez,DH412,08/21/23-12/06/23,0,2023,Fall
