Section,Number,Mode,Title,Satifies,Unit,Type,Days,Times,Instructor,Location,Dates,Seats,Year,Semester
BIOL 10 (Section 01),22429,In Person,The Living World,GE: B2,3.0,LEC,TR,01:30PM-02:45PM,Allison Harness,DH135,01/24/24-05/13/24,9,2024,Spring
BIOL 10 (Section 81),24448,Fully Online,The Living World,GE: B2,3.0,LEC,TBA,TBA,Jennifer Johnston,ONLINE,01/24/24-05/13/24,2,2024,Spring
BIOL 10 (Section 82),24449,Fully Online,The Living World,GE: B2,3.0,LEC,TBA,TBA,Allison Harness,ONLINE,01/24/24-05/13/24,9,2024,Spring
BIOL 10 (Section 99),21542,Fully Online,The Living World,GE: B2,3.0,LEC,TBA,TBA,Mary Poffenroth,ONLINE,01/24/24-05/13/24,3,2024,Spring
CHEM 1A (Section 01),27553,In Person,General Chemistry,GE: B1+B3,5.0,LEC,MWF,09:30AM-10:20AM,Melody Esfandiari,SCI142,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 02),20563,In Person,General Chemistry,GE: B1+B3,5.0,LEC,MWF,10:30AM-11:20AM,Melody Esfandiari,SCI142,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 03),22732,In Person,General Chemistry,GE: B1+B3,5.0,LEC,MWF,01:30PM-02:20PM,John Diniz,MD101,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 04),20922,In Person,General Chemistry,,0,SEM,F,07:30AM-08:20AM,Niloofar Salehi,SCI142,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 05),20942,In Person,General Chemistry,,0,SEM,F,08:30AM-09:20AM,Niloofar Salehi,SCI142,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 06),21191,In Person,General Chemistry,,0,SEM,F,09:30AM-10:20AM,Niloofar Salehi,YUH124,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 07),20093,In Person,General Chemistry,,0,SEM,F,10:30AM-11:20AM,Kala Padmanabhan,YUH124,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 08),21384,In Person,General Chemistry,,0,SEM,F,11:30AM-12:20PM,Kala Padmanabhan,YUH124,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 10),20094,In Person,General Chemistry,,0,LAB,T,07:30AM-10:20AM,Niloofar Salehi,DH412,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 11),20507,In Person,General Chemistry,,0,LAB,T,07:30AM-10:20AM,Gilles Muller,DH506,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 12),20095,In Person,General Chemistry,,0,LAB,T,10:30AM-01:20PM,Xiao Wang,DH412,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 13),20618,In Person,General Chemistry,,0,LAB,T,10:30AM-01:20PM,David Brook,DH506,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 14),20096,In Person,General Chemistry,,0,LAB,T,02:30PM-05:20PM,Xiao Wang,DH412,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 15),20097,In Person,General Chemistry,,0,LAB,T,02:30PM-05:20PM,John Diniz,DH506,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 16),20098,In Person,General Chemistry,,0,LAB,W,07:30AM-10:20AM,Niloofar Salehi,DH412,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 17),22336,In Person,General Chemistry,,0,LAB,W,07:30AM-10:20AM,Stephanie Stepp,DH506,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 18),20099,In Person,General Chemistry,,0,LAB,W,11:30AM-02:20PM,Shreeyukta Singh,DH412,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 19),20100,In Person,General Chemistry,,0,LAB,W,11:30AM-02:20PM,Minh Hoang Huynh,DH506,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 20),20101,In Person,General Chemistry,,0,LAB,W,02:30PM-05:20PM,John Diniz,DH412,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 21),20578,In Person,General Chemistry,,0,LAB,W,02:30PM-05:20PM,Karen Singmaster,DH506,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 22),20579,In Person,General Chemistry,,0,LAB,R,07:30AM-10:20AM,Brandon Barrios,DH412,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 23),21815,In Person,General Chemistry,,0,LAB,R,07:30AM-10:20AM,Karen Singmaster,DH506,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 24),20619,In Person,General Chemistry,,0,LAB,R,10:30AM-01:20PM,Shreeyukta Singh,DH412,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 25),20582,In Person,General Chemistry,,0,LAB,R,10:30AM-01:20PM,Minh Hoang Huynh,DH506,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 26),20583,In Person,General Chemistry,,0,LAB,R,02:30PM-05:20PM,Brandon Barrios,DH412,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 27),20800,In Person,General Chemistry,,0,LAB,R,02:30PM-05:20PM,Karen Singmaster,DH506,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 28),30313,In Person,General Chemistry,,0,LAB,M,02:30PM-05:20PM,Irina Slobodov,DH412,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 29),30368,In Person,General Chemistry,,0,LAB,M,02:30PM-05:20PM,Victor Maraschin,DH506,01/24/24-05/13/24,0,2024,Spring
CHEM 1A (Section 30),30408,In Person,General Chemistry,,0,LAB,M,11:30AM-02:20PM,Irina Slobodov,DH412,01/24/24-05/13/24,0,2024,Spring
CMPE 30 (Section 01),21644,In Person,Programming Concepts and Methodology,,3.0,LEC,TR,12:00PM-12:50PM,Loc Lam,ENG325,01/24/24-05/13/24,0,2024,Spring
CMPE 30 (Section 02),21645,In Person,Programming Concepts and Methodology,,3.0,LAB,R,05:45PM-08:35PM,Sanika Vijaykumar Karwa,ENG405,01/24/24-05/13/24,0,2024,Spring
CMPE 30 (Section 03),21646,In Person,Programming Concepts and Methodology,,3.0,LAB,T,05:45PM-08:35PM,Sanika Vijaykumar Karwa,ENG405,01/24/24-05/13/24,0,2024,Spring
CMPE 30 (Section 04),26586,In Person,Programming Concepts and Methodology,,3.0,LEC,TR,08:00AM-08:50AM,Faramarz Mortezaie,ENG325,01/24/24-05/13/24,0,2024,Spring
CMPE 30 (Section 05),26587,In Person,Programming Concepts and Methodology,,3.0,LAB,T,10:00AM-12:50PM,Kunjal Shah,ENG405,01/24/24-05/13/24,0,2024,Spring
