Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
CE 237 (Section 01),48088,In Person,Sustainable Construction,,3.0,SEM,T,06:00PM-08:45PM,Henry Tooryani,ENG303,08/21/23-12/06/23,0,,2023,Fall
CE 243 (Section 01),48089,In Person,Advanced Foundation Design,,3.0,LEC,M,06:00PM-08:45PM,Siu-Wang Huang,CL224,08/21/23-12/06/23,31,,2023,Fall
CE 248 (Section 80),43820,Fully Online,Forensic Engineering and Failure Analysis,GWAR,3.0,LEC,W,06:00PM-08:45PM,John Mukhar,ONLINE,08/21/23-12/06/23,1,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
CE 285 (Section 01),46882,Fully Online,Graduate Curricular Practical Training,,1.0,SUP,TBA,TBA,Kurt Mcmullin,ONLINE,08/21/23-12/06/23,4,,2023,Fall
CE 298 (Section 01),40372,Fully Online,Special Problems,,3.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,10,,2023,Fall
CE 298 (Section 02),40373,Fully Online,Special Problems,,3.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,10,,2023,Fall
CE 298 (Section 03),47388,Fully Online,Special Problems,,3.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,10,,2023,Fall
CE 299 (Section 01),40374,Fully Online,Master's Thesis,,3.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,10,,2023,Fall
CE 299 (Section 02),40375,Fully Online,Master's Thesis,,3.0,SUP,TBA,TBA,Staff,ONLINE,08/21/23-12/06/23,10,,2023,Fall
CE 8 (Section 01),40956,In Person,Plane Surveying,,3.0,SEM,TR,08:00AM-08:50AM,Ali Mehran,ENG331,08/21/23-12/06/23,0,,2023,Fall
CE 8 (Section 02),40957,In Person,Plane Surveying,,3.0,LAB,T,09:00AM-11:45AM,Ali Mehran / Rajat Madhukar Barde,ENG132,08/21/23-12/06/23,0,,2023,Fall
CE 8 (Section 03),40958,In Person,Plane Surveying,,3.0,LAB,T,01:30PM-04:15PM,Ali Mehran,ENG132,08/21/23-12/06/23,0,,2023,Fall
CE 8 (Section 04),40959,In Person,Plane Surveying,,3.0,LAB,R,09:00AM-11:45AM,Ali Mehran,ENG132,08/21/23-12/06/23,0,,2023,Fall
CE 8 (Section 05),40960,In Person,Plane Surveying,,3.0,LAB,R,01:30PM-04:15PM,Ali Mehran,ENG132,08/21/23-12/06/23,0,,2023,Fall
CE 8 (Section 06),43812,In Person,Plane Surveying,,3.0,LAB,F,01:30PM-04:15PM,Sam Koosha,ENG132,08/21/23-12/06/23,0,,2023,Fall
CE 95 (Section 01),49220,In Person,Theory and Application of Statics,,3.0,LEC,TR,09:00AM-10:15AM,Albert Wong,DMH149B,08/21/23-12/06/23,16,,2023,Fall
CE 95 (Section 02),43818,In Person,Theory and Application of Statics,,3.0,LEC,MW,09:00AM-10:15AM,Hina Habib,ENG301,08/21/23-12/06/23,2,,2023,Fall
CE 95 (Section 03),43819,In Person,Theory and Application of Statics,,3.0,LEC,TR,10:30AM-11:45AM,Amin Ghafooripour,ENG301,08/21/23-12/06/23,0,,2023,Fall
CE 95 (Section 04),48064,In Person,Theory and Application of Statics,,3.0,LEC,MW,10:30AM-11:45AM,Amin Ghafooripour,ENG301,08/21/23-12/06/23,0,,2023,Fall
CE 99 (Section 01),40818,In Person,Introductory Statics,,2.0,LEC,MW,08:00AM-08:50AM,Muhieddine Maaz,ENG331,08/21/23-12/06/23,8,,2023,Fall
CHAD 100W (Section 01),41261,In Person,Writing Workshop,WID,3.0,SEM,MW,09:00AM-10:15AM,Janet Kitajima,SH211,08/21/23-12/06/23,3,,2023,Fall
CHAD 100W (Section 02),41262,In Person,Writing Workshop,WID,3.0,SEM,MW,10:30AM-11:45AM,Janet Kitajima,SH211,08/21/23-12/06/23,0,,2023,Fall
