Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
AFAM 22 (Section 03),25026,In Person,The Humanities in African American Culture,GE: 6,3.0,LEC,MW,03:00PM-04:15PM,Carmen Saleh,DMH357,01/23/25-05/12/25,0,,2025,Fall
AFAM 22 (Section 04),25027,In Person,The Humanities in African American Culture,GE: 6,3.0,LEC,MW,04:30PM-05:45PM,Carmen Saleh,DMH357,01/23/25-05/12/25,1,,2025,Fall
AFAM 22 (Section 05),27069,In Person,The Humanities in African American Culture,GE: 6,3.0,LEC,MW,01:30PM-02:45PM,Michelle Tran,HGH116,01/23/25-05/12/25,1,,2025,Fall
AFAM 22 (Section 80),29604,Fully Online,The Humanities in African American Culture,GE: 6,3.0,LEC,TBA,TBA,Leah Gaines,ONLINE,01/23/25-05/12/25,1,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
AFAM 25 (Section 02),29012,In Person,The Changing Majority: Power and Ethnicity in America,GE: 6,3.0,LEC,MW,10:30AM-11:45AM,Bobby Seals,CL224,01/23/25-05/12/25,28,,2025,Fall
AFAM 25 (Section 03),29013,In Person,The Changing Majority: Power and Ethnicity in America,GE: 6,3.0,LEC,W,03:00PM-05:45PM,Jacqueline Gamboa,DMH149A,01/23/25-05/12/25,35,,2025,Fall
AFAM 25 (Section 80),29014,Fully Online,The Changing Majority: Power and Ethnicity in America,GE: 6,3.0,LEC,TBA,TBA,Felipe Ponce,ONLINE,01/23/25-05/12/25,29,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
AFAM 25 (Section 81),30067,Fully Online,The Changing Majority: Power and Ethnicity in America,GE: 6,3.0,LEC,TBA,TBA,Felipe Ponce,ONLINE,01/23/25-05/12/25,28,RC - Requires department release of permission number.,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
AFAM 2A (Section 80),23386,Fully Online,African Americans and the Development of America's History and Government,GE: 4,3.0,LEC,TBA,TBA,Emmanuel Watkins,ONLINE,01/23/25-05/12/25,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
AFAM 2A (Section 81),26611,Fully Online,African Americans and the Development of America's History and Government,GE: 4,3.0,LEC,TBA,TBA,Jacques Watkins,ONLINE,01/23/25-05/12/25,1,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
AFAM 2A (Section 82),27087,Fully Online,African Americans and the Development of America's History and Government,GE: 4,3.0,LEC,TBA,TBA,Jacques Watkins,ONLINE,01/23/25-05/12/25,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
AFAM 2A (Section 83),29484,Fully Online,African Americans and the Development of America's History and Government,GE: 4,3.0,LEC,TBA,TBA,Emmanuel Watkins,ONLINE,01/23/25-05/12/25,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
AFAM 2B (Section 01),24459,In Person,African Americans and the Development of America's History and Government,GE: 4+US,3.0,LEC,TR,12:00PM-01:15PM,Rana Mcreynolds,DMH234,01/23/25-05/12/25,1,,2025,Fall
AFAM 2B (Section 02),24460,In Person,African Americans and the Development of America's History and Government,GE: 4+US,3.0,LEC,TR,01:30PM-02:45PM,Rana Mcreynolds,DMH234,01/23/25-05/12/25,6,,2025,Fall
AFAM 2B (Section 03),24461,In Person,African Americans and the Development of America's History and Government,GE: 4+US,3.0,LEC,MW,09:00AM-10:15AM,Frank Ortega,DMH357,01/23/25-05/12/25,0,,2025,Fall
AFAM 2B (Section 04),24462,In Person,African Americans and the Development of America's History and Government,GE: 4+US,3.0,LEC,TR,09:00AM-10:15AM,Frank Ortega,DMH357,01/23/25-05/12/25,0,,2025,Fall
AFAM 2B (Section 05),25901,In Person,African Americans and the Development of America's History and Government,GE: 4+US,3.0,LEC,MW,10:30AM-11:45AM,Frank Ortega,DMH357,01/23/25-05/12/25,0,,2025,Fall
AMS 10 (Section 01),25420,In Person,Stories that Make America,GE: 3B+US1,3.0,LEC,TR,03:00PM-04:15PM,Ari Cushner,SH238,01/23/25-05/12/25,0,,2025,Fall
AMS 10 (Section 02),25421,In Person,Stories that Make America,GE: 3B+US1,3.0,LEC,TR,12:00PM-01:15PM,Michele Bertolone,SH238,01/23/25-05/12/25,0,,2025,Fall
AMS 10 (Section 03),25422,In Person,Stories that Make America,GE: 3B+US1,3.0,LEC,MW,10:30AM-11:45AM,Caitlin Jeffrey,CL216,01/23/25-05/12/25,1,,2025,Fall
AMS 10 (Section 04),25423,In Person,Stories that Make America,GE: 3B+US1,3.0,LEC,MW,03:00PM-04:15PM,Mike Benveniste,SH240,01/23/25-05/12/25,0,,2025,Fall
AMS 10 (Section 05),26654,In Person,Stories that Make America,GE: 3B+US1,3.0,LEC,TR,09:00AM-10:15AM,Michele Bertolone,CL308,01/23/25-05/12/25,0,,2025,Fall
AMS 10 (Section 06),27578,In Person,Stories that Make America,GE: 3B+US1,3.0,LEC,TR,10:30AM-11:45AM,Valerie Lo,CL306,01/23/25-05/12/25,0,,2025,Fall
AMS 10 (Section 07),25425,Hybrid,Stories that Make America,GE: 3B+US1,3.0,LEC,W,TBA,W,10:30AM-11:45AM,Rebecca Kling,,01/23/25-05/12/25,1,HYBRID - 2 meeting patterns: (1) designated online with day/time meetings; and (2) NO designated online day/time meetings (TBA). Both include occasional In Person meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
AMS 10 (Section 08),27906,Hybrid,Stories that Make America,GE: 3B+US1,3.0,LEC,M,TBA,M,10:30AM-11:45AM,Rebecca Kling,,01/23/25-05/12/25,0,HYBRID - 2 meeting patterns: (1) designated online with day/time meetings; and (2) NO designated online day/time meetings (TBA). Both include occasional In Person meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
AMS 10 (Section 09),29992,In Person,Stories that Make America,GE: 3B+US1,3.0,LEC,MW,03:00PM-04:15PM,Caitlin Jeffrey,DMH359,01/23/25-05/12/25,1,,2025,Fall
AMS 10 (Section 10),29993,In Person,Stories that Make America,GE: 3B+US1,3.0,LEC,TR,01:30PM-02:45PM,Michele Bertolone,SH314,01/23/25-05/12/25,0,,2025,Fall
AMS 10 (Section 80),25424,Fully Online,Stories that Make America,GE: 3B+US1,3.0,LEC,MW,12:00PM-01:15PM,Valerie Lo,ONLINE,ONLINE,01/23/25-05/12/25,0,FULLY ONLINE - 2 meeting patterns: (1) designated online with day/time meetings; and (2) NO designated online day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
AMS 100W (Section 80),29117,Fully Online,Writing in the Humanities a Interdisciplinary Arts,WID,3.0,SEM,TR,12:00PM-01:15PM,Cynthia Rostankowski,ONLINE,01/23/25-05/12/25,21,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
AMS 100W (Section 81),29118,Fully Online,Writing in the Humanities a Interdisciplinary Arts,WID,3.0,SEM,M,TBA,M,03:00PM-05:45PM,Valerie Lo / Valerie Lo,ONLINE,ONLINE,01/23/25-05/12/25,18,FULLY ONLINE - 2 meeting patterns: (1) designated online with day/time meetings; and (2) NO designated online day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
AMS 11 (Section 01),25939,In Person,Visions of Democracy,GE: 4+US23,3.0,SEM,TR,01:30PM-02:45PM,Ari Cushner,SH238,01/23/25-05/12/25,0,,2025,Fall
AMS 11 (Section 80),25437,Fully Online,Visions of Democracy,GE: 4+US23,3.0,SEM,M,TBA,M,12:00PM-01:15PM,Ari Cushner,ONLINE,ONLINE,01/23/25-05/12/25,0,FULLY ONLINE - 2 meeting patterns: (1) designated online with day/time meetings; and (2) NO designated online day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
AMS 12 (Section 01),25940,In Person,Intro to US Popular Culture: Serious Fun!,GE: 3A,3.0,SEM,MW,01:30PM-02:45PM,Mike Benveniste,SH240,01/23/25-05/12/25,0,,2025,Fall
AMS 12 (Section 80),25438,Fully Online,Intro to US Popular Culture: Serious Fun!,GE: 3A,3.0,SEM,TBA,Jorge Gonzalez,ONLINE,ONLINE,01/23/25-05/12/25,1,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
AMS 129 (Section 01),27908,In Person,The U.S. in a Global Context,,3.0,SEM,MW,01:30PM-02:45PM,Daniel Rivers,SH238,01/23/25-05/12/25,16,,2025,Fall
AMS 139 (Section 01),25440,In Person,Animals and Society,GE: 2/5,3.0,SEM,MW,10:30AM-11:45AM,Jennifer Schauer,DMH226B,01/23/25-05/12/25,6,,2025,Fall
AMS 139 (Section 02),25441,In Person,Animals and Society,GE: 2/5,3.0,SEM,MW,01:30PM-02:45PM,Jennifer Schauer,DMH226B,01/23/25-05/12/25,11,,2025,Fall
AMS 139 (Section 04),25445,Hybrid,Animals and Society,GE: 2/5,3.0,SEM,TBA,TBA,Jennifer Schauer,,01/23/25-05/12/25,5,HYBRID - NO designated day/time online meetings (TBA) with occasional In Person meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
AMS 139 (Section 80),25443,Fully Online,Animals and Society,GE: 2/5,3.0,SEM,TBA,TBA,Todd Levasseur,ONLINE,01/23/25-05/12/25,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
AMS 139 (Section 81),25444,Fully Online,Animals and Society,GE: 2/5,3.0,SEM,TBA,TBA,Jennifer Schauer,ONLINE,01/23/25-05/12/25,7,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
AMS 159 (Section 80),27910,Fully Online,Nature and World Cultures,GE: 3,3.0,SEM,TR,04:30PM-05:45PM,Sandra Brown,ONLINE,01/23/25-05/12/25,6,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
AMS 159 (Section 81),29995,Fully Online,Nature and World Cultures,GE: 3,3.0,SEM,MW,01:30PM-02:45PM,Todd Levasseur,ONLINE,01/23/25-05/12/25,18,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
AMS 160 (Section 01),29124,In Person,Special Topics in Humanities,,3.0,SEM,TR,10:30AM-11:45AM,Erica Colmenares,DMH226B,01/23/25-05/12/25,30,,2025,Fall
AMS 169 (Section 01),27911,Hybrid,The American Dream,GE: 4,3.0,SEM,M,TBA,M,10:30AM-11:45AM,J. Todd Ormsbee / J. Todd Ormsbee,CL308,01/23/25-05/12/25,10,HYBRID - 2 Meeting Patterns: (1) designated In Person with day/time meetings; and (2) NO designated online day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
AMS 190 (Section 01),29125,In Person,Senior Seminar in Humanities,,3.0,SEM,R,03:00PM-05:45PM,Funie Hsu,BBC125,01/23/25-05/12/25,20,,2025,Fall
AMS 190 (Section 02),29126,Hybrid,Senior Seminar in Humanities,,3.0,SEM,F,09:00AM-11:45AM,Susan Verducci Sandford (She/Hers),,01/23/25-05/12/25,20,"HYBRID - Designated day/time online meetings, with occasional In Person meetings. May utilize Canvas. More info at sjsu.edu/cfeti",2025,Fall
AMS 1B (Section 01),23694,In Person,American Cultures 1877 to Present,GE: 3B+4US,6.0,LEC,TR,01:30PM-02:45PM,Valerie Lo,WSQ109,01/23/25-05/12/25,7,IN - Multiple GE areas are met by completion of this course; See General Education section in SJSU Catalog and Class Schedule Policies.,2025,Fall
AMS 1B (Section 02),23693,Hybrid,American Cultures 1877 to Present,GE: 3B+4US,6.0,SEM,T,TBA,T,03:00PM-04:15PM,Valerie Lo,BBC125,01/23/25-05/12/25,7,,IN - Multiple GE areas are met by completion of this course; See General Education section in SJSU Catalog and Class Schedule Policies.,HYBRID - 2 Meeting Patterns: (1) designated In Person with day/time meetings; and (2) NO designated online day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
AMS 1B (Section 03),23695,In Person,American Cultures 1877 to Present,GE: 3B+4US,6.0,LEC,TR,01:30PM-02:45PM,Matthew Moore,WSQ109,01/23/25-05/12/25,6,IN - Multiple GE areas are met by completion of this course; See General Education section in SJSU Catalog and Class Schedule Policies.,2025,Fall
AMS 1B (Section 04),23696,Hybrid,American Cultures 1877 to Present,GE: 3B+4US,6.0,SEM,T,TBA,T,03:00PM-04:15PM,Matthew Moore,DMH226B,01/23/25-05/12/25,6,,IN - Multiple GE areas are met by completion of this course; See General Education section in SJSU Catalog and Class Schedule Policies.,HYBRID - 2 Meeting Patterns: (1) designated In Person with day/time meetings; and (2) NO designated online day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
AMS 1B (Section 05),23698,In Person,American Cultures 1877 to Present,GE: 3B+4US,6.0,LEC,TR,01:30PM-02:45PM,Funie Hsu,WSQ109,01/23/25-05/12/25,6,IN - Multiple GE areas are met by completion of this course; See General Education section in SJSU Catalog and Class Schedule Policies.,2025,Fall
AMS 1B (Section 06),23699,Hybrid,American Cultures 1877 to Present,GE: 3B+4US,6.0,SEM,T,TBA,T,03:00PM-04:15PM,Funie Hsu,CL216,01/23/25-05/12/25,6,,IN - Multiple GE areas are met by completion of this course; See General Education section in SJSU Catalog and Class Schedule Policies.,HYBRID - 2 Meeting Patterns: (1) designated In Person with day/time meetings; and (2) NO designated online day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
ANI 122 (Section 01),20604,In Person,Illustration Fundamentals III,,3.0,ACT,MW,08:00AM-10:50AM,Anthony Ermio,DBH228,01/23/25-05/12/25,0,RO - Not available to Open University students.,2025,Fall
ANI 122 (Section 02),24048,In Person,Illustration Fundamentals III,,3.0,ACT,MW,12:00PM-02:50PM,Anthony Ermio,DBH228,01/23/25-05/12/25,0,,2025,Fall
ANI 122 (Section 03),26480,In Person,Illustration Fundamentals III,,3.0,ACT,TR,08:00AM-10:50AM,Owen Matthew Aurelio,ART203,01/23/25-05/12/25,2,,2025,Fall
ANI 122 (Section 04),26481,In Person,Illustration Fundamentals III,,3.0,ACT,TR,12:00PM-02:50PM,Owen Matthew Aurelio,ART203,01/23/25-05/12/25,0,,2025,Fall
ANI 122 (Section 06),30001,In Person,Illustration Fundamentals III,,3.0,ACT,TR,03:00PM-05:50PM,Ishmael Hoover,ART203,01/23/25-05/12/25,0,,2025,Fall
ANI 123 (Section 01),22266,In Person,Visual Development I,,3.0,ACT,TR,08:00AM-10:50AM,Chris Zollna,DBH228,01/23/25-05/12/25,2,,2025,Fall
ANI 123 (Section 02),25291,In Person,Visual Development I,,3.0,ACT,TR,12:00PM-02:50PM,Chris Zollna,DBH228,01/23/25-05/12/25,0,,2025,Fall
ANI 123 (Section 03),28281,In Person,Visual Development I,,3.0,ACT,TR,06:00PM-08:50PM,Ishmael Hoover,ART203,01/23/25-05/12/25,10,,2025,Fall
ANI 13 (Section 01),21397,In Person,Drawing for Animation/Illustration I,,3.0,ACT,MW,08:00AM-10:50AM,John Clapp,ART314,01/23/25-05/12/25,3,RO - Not available to Open University students.,2025,Fall
ANI 13 (Section 02),22870,In Person,Drawing for Animation/Illustration I,,3.0,ACT,MW,12:00PM-02:50PM,John Clapp,ART314,01/23/25-05/12/25,1,,2025,Fall
ANI 13 (Section 03),22871,In Person,Drawing for Animation/Illustration I,,3.0,ACT,MW,03:00PM-05:50PM,John Clapp,ART314,01/23/25-05/12/25,2,,2025,Fall
ANI 13 (Section 04),22499,In Person,Drawing for Animation/Illustration I,,3.0,ACT,MW,06:00PM-08:50PM,Leila Beverleigh,ART314,01/23/25-05/12/25,10,,2025,Fall
ANI 13 (Section 05),22872,In Person,Drawing for Animation/Illustration I,,3.0,ACT,TR,06:00PM-08:50PM,Leila Beverleigh,ART314,01/23/25-05/12/25,2,,2025,Fall
ANI 13 (Section 06),23748,In Person,Drawing for Animation/Illustration I,,3.0,ACT,F,08:30AM-02:10PM,Leila Beverleigh,ART314,01/23/25-05/12/25,10,,2025,Fall
ANI 131 (Section 01),20603,In Person,2D Animation II,,3.0,ACT,TR,08:00AM-10:50AM,Brandon Moore,ART218,01/23/25-05/12/25,5,RO - Not available to Open University students.,2025,Fall
