Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
JS 151 (Section 02),42853,In Person,Criminological Theory,,3.0,LEC,TR,01:30PM-02:45PM,Justin Strong,MH523,08/21/23-12/06/23,1,,2023,Fall
JS 151 (Section 80),42456,Fully Online,Criminological Theory,,3.0,LEC,R,04:30PM-07:15PM,Yoko Baba,ONLINE,08/21/23-12/06/23,13,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
JS 151 (Section 81),45263,Fully Online,Criminological Theory,,3.0,LEC,TBA,TBA,Natalie Birthelmer,ONLINE,08/21/23-12/06/23,2,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
JS 152 (Section 01),46237,In Person,Juvenile Delinquency a Justice,,3.0,LEC,MW,12:00PM-01:15PM,Susie Rivera,MH520,08/21/23-12/06/23,4,PB - Prereq - Upper division standing.,2023,Fall
JS 152 (Section 80),41438,Fully Online,Juvenile Delinquency a Justice,,3.0,LEC,TBA,TBA,Susie Rivera,ONLINE,08/21/23-12/06/23,0,,2023,Fall
PB - Prereq - Upper division standing.,,,,,,,,,,,,,,2023,Fall
JS 155 (Section 02),47604,In Person,Victimology,,3.0,LEC,W,04:30PM-07:15PM,Sheree Martinek,DMH149A,08/21/23-12/06/23,28,,2023,Fall
JS 155 (Section 80),44492,Fully Online,Victimology,,3.0,LEC,TBA,,,,,,,2023,Fall
TBA,TBA,,,,,,,,,,,,,2023,Fall
TBA,Sheree Martinek,ONLINE,,,,,,,,,,,,2023,Fall
JS 156 (Section 80),42859,Fully Online,"Gangs, Criminal Syndicates a Justice",,3.0,LEC,TBA,TBA,Allison Martin,ONLINE,08/21/23-12/06/23,1,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
JS 157 (Section 01),44421,In Person,Deviance and Justice,,3.0,LEC,MW,01:30PM-02:45PM,Natalie Birthelmer,MH520,08/21/23-12/06/23,22,,2023,Fall
JS 161 (Section 01),43007,In Person,Introduction to Cybercrime,,3.0,LEC,MW,03:00PM-04:15PM,Heather So,MH520,08/21/23-12/06/23,20,,2023,Fall
